x,y,z,yaw,velocity,change_flag
364.1302,1023.0791,-13.1707,-0.2413,0,0
364.2289,1023.0624,-13.2193,-0.2394,0.8365,0
364.3272,1023.0340,-13.2108,-0.2357,1.2384,0
364.4629,1023.0114,-13.2093,-0.2330,1.3606,0
364.5732,1022.9883,-13.2054,-0.2301,1.0940,0
364.7010,1022.9596,-13.1998,-0.2270,1.5181,0
364.8216,1022.9357,-13.1975,-0.2231,1.1575,0
364.9556,1022.9010,-13.1827,-0.2190,1.4418,0
365.0564,1022.8782,-13.1885,-0.2167,1.3256,0
365.1834,1022.8485,-13.1745,-0.2132,1.9559,0
365.3077,1022.8265,-13.1663,-0.2092,1.9762,0
365.4358,1022.8021,-13.1720,-0.2067,1.3833,0
365.5686,1022.7847,-13.1697,-0.2031,2.0518,0
365.7116,1022.7551,-13.1497,-0.2017,1.9370,0
365.8524,1022.7197,-13.1443,-0.2035,1.7608,0
365.9542,1022.7050,-13.1492,-0.2064,1.9190,0
366.0743,1022.6881,-13.1441,-0.2087,2.3682,0
366.1783,1022.6565,-13.1459,-0.2119,1.7749,0
366.2998,1022.6410,-13.1324,-0.2163,1.9125,0
366.4080,1022.6194,-13.1256,-0.2207,1.7533,0
366.5407,1022.5848,-13.0975,-0.2233,2.3643,0
366.6698,1022.5667,-13.1066,-0.2260,2.1154,0
366.7890,1022.5373,-13.1019,-0.2282,2.2215,0
366.9120,1022.5211,-13.1015,-0.2294,1.9608,0
367.0452,1022.4790,-13.0920,-0.2267,2.8266,0
367.1778,1022.4677,-13.0926,-0.2257,2.3727,0
367.3067,1022.4231,-13.0814,-0.2208,2.4516,0
367.4554,1022.3911,-13.0769,-0.2169,2.5313,0
367.6026,1022.3693,-13.0780,-0.2142,2.6250,0
367.7486,1022.3450,-13.0865,-0.2142,2.5735,0
367.9125,1022.3059,-13.0541,-0.2136,3.1209,0
368.0794,1022.2819,-13.0546,-0.2162,3.4007,0
368.2217,1022.2462,-13.0540,-0.2182,3.2123,0
368.3809,1022.2152,-13.0528,-0.2215,2.9780,0
368.5265,1022.1866,-13.0381,-0.2242,2.7393,0
368.6909,1022.1447,-13.0328,-0.2249,3.0452,0
368.7945,1022.1333,-13.0212,-0.2273,3.7724,0
368.9276,1022.0978,-13.0083,-0.2301,2.7071,0
369.0931,1022.0620,-13.0081,-0.2321,3.1460,0
369.2489,1022.0240,-13.0017,-0.2334,2.6639,0
369.4128,1021.9999,-12.9929,-0.2354,2.5939,0
369.5843,1021.9576,-12.9817,-0.2362,3.5090,0
369.7447,1021.9346,-12.9899,-0.2381,2.8780,0
369.8926,1021.8984,-12.9926,-0.2407,2.3011,0
370.0025,1021.8652,-12.9663,-0.2425,4.2441,0
370.1851,1021.8225,-12.9718,-0.2488,3.4904,0
370.3445,1021.7847,-12.9832,-0.2548,3.6919,0
370.4929,1021.7466,-12.9862,-0.2587,2.5986,0
370.6725,1021.7075,-12.9706,-0.2557,3.1088,0
370.8561,1021.6516,-12.9207,-0.2506,3.5372,0
371.0311,1021.6295,-12.9400,-0.2461,3.4540,0
371.1883,1021.5707,-12.9357,-0.2400,3.5216,0
371.2926,1021.5706,-12.9456,-0.2383,3.7728,0
371.4493,1021.5307,-12.9375,-0.2341,3.2560,0
371.6429,1021.4930,-12.9250,-0.2313,4.2065,0
371.8221,1021.4590,-12.9424,-0.2331,3.2173,0
372.0055,1021.4075,-12.9447,-0.2367,3.6859,0
372.1736,1021.3584,-12.9112,-0.2429,2.7810,0
372.2808,1021.3231,-12.8944,-0.2451,4.1034,0
372.4456,1021.3068,-12.9124,-0.2504,3.1023,0
372.6144,1021.2701,-12.9108,-0.2510,3.1329,0
372.7208,1021.2460,-12.8704,-0.2507,4.1836,0
372.8983,1021.2220,-12.8693,-0.2497,3.8713,0
373.0719,1021.1550,-12.8792,-0.2440,3.7341,0
373.2329,1021.1325,-12.8862,-0.2396,2.6655,0
373.3362,1021.1064,-12.8567,-0.2361,3.9818,0
373.5459,1021.0606,-12.8556,-0.2375,4.3894,0
373.7263,1021.0065,-12.8453,-0.2480,3.3541,0
373.8812,1020.9686,-12.8500,-0.2548,2.7839,0
374.0566,1020.9454,-12.8439,-0.2543,2.9315,0
374.2539,1020.8975,-12.8305,-0.2489,3.7872,0
374.4135,1020.8760,-12.8199,-0.2394,2.6815,0
374.5922,1020.8372,-12.8004,-0.2195,3.8571,0
374.7546,1020.8059,-12.8204,-0.1986,2.9087,0
374.9352,1020.7731,-12.7909,-0.1744,3.6325,0
375.0356,1020.7730,-12.8072,-0.1625,3.6569,0
375.1723,1020.7395,-12.7777,-0.1338,2.5965,0
375.3432,1020.7108,-12.7955,-0.1050,3.1480,0
375.4677,1020.7069,-12.7800,-0.0735,1.9739,0
375.5703,1020.6888,-12.7654,-0.0555,3.7848,0
375.7277,1020.6840,-12.7619,-0.0233,2.5112,0
375.8674,1020.6754,-12.7442,0.0098,2.5407,0
376.0236,1020.6721,-12.7109,0.0413,2.5769,0
376.1793,1020.6887,-12.7288,0.0730,2.9280,0
376.3565,1020.6869,-12.7308,0.1185,3.1472,0
376.5128,1020.7214,-12.7082,0.1486,2.4038,0
376.6405,1020.7247,-12.6920,0.1795,2.5075,0
376.7845,1020.7606,-12.6919,0.2100,2.5355,0
376.9341,1020.7847,-12.6684,0.2411,3.2312,0
377.0665,1020.8132,-12.6712,0.2724,3.0956,0
377.2013,1020.8445,-12.6743,0.3033,2.0902,0
377.3458,1020.8920,-12.6624,0.3355,2.9645,0
377.4966,1020.9355,-12.6316,0.3676,2.4698,0
377.6388,1020.9889,-12.6284,0.4003,2.4171,0
377.7823,1021.0480,-12.6093,0.4327,2.8956,0
377.9243,1021.1155,-12.6082,0.4648,3.2783,0
378.0581,1021.1907,-12.5957,0.4961,2.6138,0
378.1893,1021.2483,-12.5748,0.5294,3.0535,0
378.3323,1021.3332,-12.5751,0.5638,2.8587,0
378.4763,1021.4184,-12.5500,0.5983,3.3079,0
378.6021,1021.4930,-12.5518,0.6308,2.6585,0
378.7257,1021.5698,-12.5326,0.6663,3.2098,0
378.8631,1021.6791,-12.5197,0.7026,2.7240,0
378.9984,1021.7822,-12.5165,0.7389,3.0602,0
379.1103,1021.8813,-12.5231,0.7744,2.9078,0
379.2345,1022.0007,-12.5199,0.8108,3.4608,0
379.3503,1022.1102,-12.5123,0.8468,2.6124,0
379.4478,1022.2254,-12.5217,0.8837,2.8823,0
379.5506,1022.3494,-12.5146,0.9206,2.4452,0
379.6549,1022.4944,-12.5138,0.9576,3.6088,0
379.7391,1022.6182,-12.5048,0.9943,2.9678,0
379.8379,1022.7784,-12.5072,1.0307,3.5681,0
379.9200,1022.9144,-12.4937,1.0671,3.1477,0
379.9952,1023.0466,-12.4852,1.1023,2.3025,0
380.0796,1023.2092,-12.4794,1.1383,3.2963,0
380.1370,1023.3574,-12.4723,1.1721,3.0662,0
380.2071,1023.4919,-12.4633,1.2042,2.9231,0
380.2612,1023.6746,-12.4474,1.2301,3.8551,0
380.2946,1023.7791,-12.4311,1.2368,3.9920,0
380.3324,1023.8932,-12.4233,1.2427,1.9261,0
380.3822,1024.0093,-12.4246,1.2477,2.4407,0
380.3396,1023.8970,-12.4216,1.2614,-1.0162,0
380.3030,1023.7932,-12.4259,1.2748,-1.8697,0
380.2727,1023.6761,-12.4269,1.2930,-1.2686,0
380.2457,1023.5723,-12.4231,1.3074,-1.9399,0
380.2063,1023.4188,-12.4464,1.3349,-2.1643,0
380.1862,1023.2946,-12.4449,1.3562,-2.1154,0
380.1606,1023.1508,-12.4492,1.3793,-2.7370,0
380.1335,1023.0348,-12.4559,1.4050,-2.0386,0
380.1176,1022.8776,-12.4620,1.4329,-2.7930,0
380.1019,1022.7285,-12.4632,1.4611,-2.7603,0
380.0840,1022.5519,-12.4718,1.4918,-3.3526,0
380.0894,1022.3836,-12.4784,1.5246,-2.7832,0
380.0876,1022.2139,-12.4873,1.5592,-3.0346,0
380.0936,1022.0182,-12.4942,1.5955,-3.6457,0
380.0850,1021.8217,-12.4976,1.6341,-3.5689,0
380.1171,1021.6093,-12.4968,1.6735,-4.1755,0
380.1345,1021.4968,-12.5101,1.6946,-4.1281,0
380.1573,1021.3881,-12.4959,1.7159,-4.0244,0
380.1983,1021.2019,-12.5121,1.7596,-3.5675,0
380.2312,1021.1057,-12.5039,1.7826,-3.6670,0
380.2981,1020.9329,-12.5078,1.8282,-3.5533,0
380.3656,1020.7582,-12.5302,1.8758,-3.5645,0
380.3979,1020.6501,-12.5304,1.9002,-4.0710,0
380.4373,1020.5330,-12.5428,1.9253,-4.4596,0
380.4828,1020.4155,-12.5389,1.9507,-4.5393,0
380.5230,1020.2990,-12.5539,1.9755,-4.4697,0
380.5492,1020.1660,-12.5496,1.9989,-4.8812,0
380.6312,1020.0657,-12.5395,2.0206,-4.6774,0
380.6857,1019.9705,-12.5460,2.0437,-3.9548,0
380.7385,1019.8688,-12.5612,2.0677,-4.1595,0
380.7953,1019.7451,-12.5684,2.0917,-4.9104,0
380.8625,1019.5945,-12.5697,2.1147,-5.9354,0
380.9423,1019.4954,-12.5730,2.1321,-4.5810,0
381.0065,1019.4077,-12.5850,2.1396,-3.9378,0
381.0814,1019.3054,-12.5698,2.1385,-4.6050,0
381.1547,1019.1774,-12.5312,2.1324,-5.4948,0
381.2148,1019.0387,-12.5577,2.1307,-5.5197,0
381.2855,1018.9435,-12.5928,2.1313,-4.4476,0
381.3761,1018.8430,-12.5981,2.1294,-4.8727,0
381.4528,1018.7326,-12.5815,2.1260,-4.8852,0
381.5135,1018.6243,-12.5868,2.1216,-4.4799,0
381.5593,1018.5200,-12.5910,2.1181,-4.1065,0
381.6117,1018.4130,-12.6089,2.1154,-4.3333,0
381.6777,1018.3013,-12.5230,2.1142,-5.6063,0
381.7534,1018.2174,-12.5474,2.1064,-3.3078,0
381.6746,1018.3060,-12.5992,2.1133,0.9545,0
381.6115,1018.3992,-12.5968,2.1164,1.7823,0
381.5305,1018.5054,-12.6073,2.1189,1.4270,0
381.4728,1018.5982,-12.6038,2.1228,2.0779,0
381.4241,1018.7021,-12.6045,2.1288,1.9187,0
381.3600,1018.8087,-12.6117,2.1326,2.3852,0
381.2784,1018.9158,-12.5833,2.1379,2.6518,0
381.1986,1019.0372,-12.5789,2.1427,2.9158,0
381.1129,1019.1799,-12.5999,2.1471,2.8355,0
381.0193,1019.3105,-12.5856,2.1534,2.8923,0
380.9130,1019.4536,-12.5677,2.1642,3.6094,0
380.8542,1019.5446,-12.5747,2.1706,3.9045,0
380.7478,1019.6810,-12.5701,2.1861,3.1763,0
380.6291,1019.8493,-12.5693,2.2099,3.9004,0
380.5823,1019.9388,-12.5663,2.2219,3.6348,0
380.5142,1020.0273,-12.5556,2.2337,4.0451,0
380.3893,1020.1901,-12.5643,2.2582,3.8711,0
380.3153,1020.2831,-12.5621,2.2701,4.2714,0
380.2333,1020.3575,-12.5603,2.2820,3.9899,0
380.1028,1020.5341,-12.5550,2.3077,4.4881,0
380.0234,1020.6140,-12.5657,2.3193,4.0754,0
379.9456,1020.6959,-12.5805,2.3306,4.0970,0
379.8615,1020.7773,-12.5681,2.3426,4.2470,0
379.7722,1020.8766,-12.5741,2.3565,4.8157,0
379.6953,1020.9578,-12.5952,2.3713,4.1022,0
379.6162,1021.0270,-12.5794,2.3859,3.8258,0
379.4513,1021.1796,-12.5676,2.4152,4.9476,0
379.3695,1021.2596,-12.5663,2.4312,4.1144,0
379.2859,1021.3319,-12.5861,2.4462,4.0377,0
379.2027,1021.3903,-12.5734,2.4609,3.6936,0
379.1093,1021.4789,-12.5866,2.4774,4.6540,0
379.0113,1021.5433,-12.5852,2.4960,4.2219,0
378.8505,1021.6702,-12.5785,2.5338,3.9415,0
378.7446,1021.7263,-12.5991,2.5542,4.3757,0
378.6408,1021.8010,-12.5924,2.5744,4.6117,0
378.5364,1021.8681,-12.5911,2.5949,4.4643,0
378.4370,1021.9333,-12.5976,2.6159,4.2817,0
378.3300,1021.9797,-12.6088,2.6363,4.2127,0
378.2374,1022.0284,-12.6125,2.6560,3.7735,0
378.1324,1022.1028,-12.6216,2.6759,4.6504,0
378.0219,1022.1599,-12.6206,2.6959,4.4714,0
377.9231,1022.2130,-12.6378,2.7168,4.0799,0
377.8205,1022.2509,-12.6402,2.7376,3.9380,0
377.7217,1022.2706,-12.6388,2.7570,3.6261,0
377.6217,1022.3166,-12.6387,2.7772,3.9662,0
377.5214,1022.3791,-12.6425,2.7980,4.2550,0
377.3368,1022.4467,-12.6397,2.8374,3.6136,0
377.2303,1022.4792,-12.6414,2.8545,4.0154,0
377.1259,1022.5059,-12.6421,2.8680,3.8784,0
376.9940,1022.5215,-12.6499,2.8758,4.7896,0
376.8694,1022.5474,-12.6495,2.8806,4.5773,0
