x,y,z,yaw,velocity,change_flag
14.1770,24.8827,0.5119,-3.1400,0,0
14.0721,24.8827,0.5132,-3.1400,1.1865,0
13.9598,24.8871,0.5134,-3.1400,1.4275,0
13.8485,24.8793,0.5144,-3.1399,1.2145,0
13.7459,24.8804,0.5180,-3.1401,2.0877,0
13.6056,24.8703,0.5196,-3.1403,1.9955,0
13.4935,24.8736,0.5173,-3.1402,2.2196,0
13.3848,24.8753,0.5163,-3.1403,1.9628,0
13.2726,24.8763,0.5195,-3.1405,2.0457,0
13.1672,24.8839,0.5160,-3.1402,1.7980,0
13.0660,24.8916,0.5196,-3.1402,1.5781,0
12.9399,24.8924,0.5171,-3.1404,2.4731,0
12.8362,24.8867,0.5184,-3.1406,1.8482,0
12.7291,24.8788,0.5170,-3.1408,1.7433,0
12.6235,24.8730,0.5153,-3.1407,2.0920,0
12.5228,24.8661,0.5171,-3.1407,1.6951,0
12.4179,24.8682,0.5139,-3.1410,1.9321,0
12.3103,24.8726,0.5185,-3.1411,2.0661,0
12.2067,24.8682,0.5214,-3.1409,2.0190,0
12.1052,24.8705,0.5213,-3.1408,1.9780,0
11.9920,24.8609,0.5211,-3.1406,1.8726,0
11.8855,24.8645,0.5213,-3.1403,2.1203,0
11.7810,24.8707,0.5212,-3.1406,2.1599,0
11.6244,24.8895,0.5189,3.1314,2.1575,0
11.4867,24.9048,0.5217,3.1032,1.8559,0
11.3838,24.9063,0.5262,3.0848,1.6971,0
11.2831,24.9233,0.5266,3.0663,1.8687,0
11.1382,24.9523,0.5261,3.0389,2.1556,0
11.0428,24.9944,0.5191,3.0216,2.1213,0
10.8925,25.0123,0.5232,2.9932,2.2187,0
10.7526,25.0589,0.5221,2.9652,2.3840,0
10.6176,25.1094,0.5199,2.9388,2.0024,0
10.4838,25.1609,0.5228,2.9130,1.9586,0
10.3471,25.2107,0.5214,2.8864,1.8948,0
10.2133,25.2570,0.5198,2.8599,1.6928,0
10.0809,25.3145,0.5178,2.8342,1.8444,0
9.9874,25.3595,0.5234,2.8179,1.2760,0
9.8848,25.3879,0.5353,2.8006,2.0135,0
9.7614,25.4632,0.5328,2.7750,1.8017,0
9.6289,25.5316,0.5335,2.7487,1.8498,0
9.5547,25.6009,0.5312,2.7306,2.1176,0
9.4355,25.6850,0.5309,2.7037,1.9566,0
9.3126,25.7515,0.5343,2.6762,1.6291,0
9.2175,25.8077,0.5341,2.6595,1.9866,0
9.1072,25.8860,0.5403,2.6326,1.5930,0
9.0313,25.9562,0.5393,2.6130,2.0079,0
8.9164,26.0368,0.5389,2.5851,1.9408,0
8.8111,26.1218,0.5438,2.5574,1.6074,0
8.7240,26.1921,0.5415,2.5373,2.2424,0
8.6258,26.2896,0.5406,2.5081,1.4996,0
8.5254,26.3921,0.5392,2.4797,2.1929,0
8.4286,26.4958,0.5424,2.4506,1.8788,0
8.3300,26.5993,0.5427,2.4214,1.8167,0
8.2324,26.7010,0.5477,2.3916,1.8373,0
8.1829,26.7905,0.5517,2.3732,1.9074,0
8.0757,26.8910,0.5512,2.3524,1.7247,0
7.9906,26.9779,0.5499,2.3484,2.1190,0
